H_A_per_m,B_T
4.277708626555977389e+00,8.174957016995045012e-02
4.290530028491048142e+00,8.199956755308859813e-02
4.303351059701526538e+00,8.224956492789349538e-02
4.316171702681458555e+00,8.249956229484445291e-02
4.328991939924890175e+00,8.274955965431719795e-02
4.341811753882211633e+00,8.299955700572800299e-02
4.354631127047468908e+00,8.324955434923154984e-02
4.367450041914707981e+00,8.349955168486494772e-02
4.380268480977974832e+00,8.374954901254322293e-02
4.393086426774971187e+00,8.399954633290593331e-02
4.405903861799743026e+00,8.424954364560982567e-02
4.418720768546336330e+00,8.449954095017550570e-02
4.431537129552452825e+00,8.474953824683428838e-02
4.444352927355794236e+00,8.499953553567217435e-02
4.457168144494062290e+00,8.524953281662522864e-02
4.469982763548614457e+00,8.549953009032655593e-02
4.482796767013496719e+00,8.574952735554676464e-02
4.495610137513722293e+00,8.599952461344766153e-02
4.508422857586992905e+00,8.624952186331927284e-02
4.521234909814666025e+00,8.649951910513030418e-02
4.534046276821754873e+00,8.674951633952378283e-02
4.546856941189616919e+00,8.699951356610874376e-02
4.559666885499609634e+00,8.724951078430737139e-02
4.572476092420401983e+00,8.749950799505444576e-02
4.585284544577007182e+00,8.774950519823702944e-02
4.598092224594438449e+00,8.799950239354167869e-02
4.610899115141364746e+00,8.824949958130209882e-02
4.623705198842799291e+00,8.849949676079023331e-02
4.636510458411066793e+00,8.874949393276843068e-02
4.649314876514836214e+00,8.899949109692821547e-02
4.662118435822776519e+00,8.924948825273795738e-02
4.674921119090868160e+00,8.949948540114315010e-02
4.687722909031435847e+00,8.974948254200487696e-02
4.700523788356804289e+00,8.999947967494750789e-02
4.713323739822953939e+00,9.024947680020686813e-02
4.726122746142209508e+00,9.049947391692048093e-02
4.738920790157862939e+00,9.074947102653387054e-02
4.751717854582238942e+00,9.099946812767992221e-02
4.764513922258629464e+00,9.124946522129077919e-02
4.777308975986670703e+00,9.149946230718243589e-02
4.790102998565998860e+00,9.174945938490293440e-02
4.802895972883561626e+00,9.199945645543412820e-02
4.815687881738995202e+00,9.224945351777492919e-02
4.828478708019247279e+00,9.249945057234935930e-02
4.841268434611265548e+00,9.274944761929597437e-02
4.854057044401997700e+00,9.299944465846347874e-02
4.866844520278391428e+00,9.324944168940604849e-02
4.879630845214705914e+00,9.349943871308623311e-02
4.892416002097888850e+00,9.374943572845646778e-02
4.905199973902199417e+00,9.399943273586881809e-02
4.917982743645552546e+00,9.424942973621756870e-02
4.930764294258551672e+00,9.449942672837337299e-02
4.943544608759111725e+00,9.474942371259394147e-02
4.956323670165147632e+00,9.499942068881239710e-02
4.969101461538230069e+00,9.524941765748687339e-02
4.981877965939929709e+00,9.549941461874235371e-02
4.994653166431817226e+00,9.574941157236623035e-02
5.007427046075463295e+00,9.599940851780393303e-02
5.020199588019750081e+00,9.624940545586350982e-02
5.032970775369904004e+00,9.649940238614833354e-02
5.045740591231151484e+00,9.674939930790697751e-02
5.058509018839686178e+00,9.699939622259322325e-02
5.071276041300734505e+00,9.724939312873372155e-02
5.084041641850490123e+00,9.749939002705217128e-02
5.096805803725146689e+00,9.774938691790113765e-02
5.109568510160897858e+00,9.799938380125769455e-02
5.122329744393937290e+00,9.824938067671916408e-02
5.135089489704114385e+00,9.849937754435407478e-02
5.147847729371278547e+00,9.874937440384294607e-02
5.160604446762590669e+00,9.899937125618504807e-02
5.173359625157900155e+00,9.924936810027254475e-02
5.186113247968023643e+00,9.949936493716392272e-02
5.198865298516466282e+00,9.974936176580197211e-02
5.211615760214044712e+00,9.999935858643239917e-02
5.224364616515231319e+00,1.002493553997444720e-01
