H_A_per_m,B_T
-1.609048254248909871e+01,1.064215250749068975e+00
-1.506656231750672248e+01,1.064285388525407328e+00
-1.393533610025285441e+01,1.064366509854870468e+00
-1.269819107822551985e+01,1.064459643796467070e+00
-1.135661574490013948e+01,1.064565923360351052e+00
-9.912198174135738782e+00,1.064686587526902262e+00
-8.366624200390674559e+00,1.064822984075030954e+00
-6.721675506783498122e+00,1.064976573343359378e+00
-4.979227623121005308e+00,1.065148933081791149e+00
-3.141247836097946333e+00,1.065341764459769580e+00
-1.209793013955803076e+00,1.065556899494061405e+00
8.129926520340831075e-01,1.065796309939408104e+00
2.924879986820698718e+00,1.066062117959469369e+00
5.123557249041809314e+00,1.066356608657715199e+00
7.406632624122948982e+00,1.066682244803002666e+00
9.771636790353127822e+00,1.067041683989117695e+00
1.221602555521432976e+01,1.067437798550080919e+00
1.473718255918410591e+01,1.067873698606657262e+00
1.733242204416595200e+01,1.068352758698978500e+00
1.999899168364838431e+01,1.068878648520419139e+00
2.273407547163941445e+01,1.069455368377484783e+00
2.553479666736957654e+01,1.070087290117545997e+00
2.839822079271446853e+01,1.070779204520211580e+00
3.132135867923759065e+01,1.071536376068219942e+00
3.430116956171637099e+01,1.072364606495276318e+00
3.733456421497503896e+01,1.073270308932687600e+00
4.041840813081304873e+01,1.074260594038793482e+00
4.354952473178643402e+01,1.075343371343642218e+00
4.672469861857064899e+01,1.076527467909702551e+00
4.994067884761003029e+01,1.077822768544167475e+00
5.319418223573290305e+01,1.079240382218721539e+00
5.648189668839997779e+01,1.080792839751039125e+00
5.980048454823261750e+01,1.082494330695400908e+00
6.314658596045669725e+01,1.084360988606912990e+00
6.651682225189405528e+01,1.086411236012575943e+00
6.990779932012250697e+01,1.088666204547971805e+00
7.331611102942754599e+01,1.091150250137948197e+00
7.673834261016953917e+01,1.093891589095838057e+00
8.017107405819506027e+01,1.096923089644819438e+00
8.361088353092975467e+01,1.100283264842131681e+00
8.705435073680168045e+01,1.104017529178866974e+00
9.049806031465865885e+01,1.108179804595521123e+00
9.393860519986324675e+01,1.112834594632563512e+00
9.737258997376574143e+01,1.118059694109534874e+00
1.007966341932874315e+02,1.123949773996552048e+00
1.042073756973682919e+02,1.130621191137317849e+00
1.076014738870646710e+02,1.138218543734559107e+00
1.109756129761219370e+02,1.146923760993230124e+00
1.143265052088772933e+02,1.156968960617641207e+00
1.176508940423927783e+02,1.168655054727780085e+00
1.209455572897598188e+02,1.182180434189236129e+00
1.242073102215630911e+02,1.194767426221077677e+00
1.274330086225402852e+02,1.205662227310294821e+00
1.306195518005263523e+02,1.215200487883623781e+00
1.337638855448245749e+02,1.223629990418630964e+00
1.368630050312061144e+02,1.231140229488728588e+00
1.399139576707942467e+02,1.237878555468944430e+00
1.429138459001609363e+02,1.243961252249032423e+00
1.458598299100166571e+02,1.249481292690067358e+00
1.487491303099530455e+02,1.254513868058447335e+00
1.515790307267587878e+02,1.259120443207397688e+00
1.543468803339065119e+02,1.263351721842671527e+00
1.570500963098792795e+02,1.267249898952201637e+00
1.596861662230838306e+02,1.270850354115621528e+00
1.622526503411743874e+02,1.274182964549143815e+00
1.647471838626916849e+02,1.277273121402742850e+00
1.671674790690040595e+02,1.280142534604904236e+00
1.695113273946209347e+02,1.282809862135069423e+00
1.717766014140347011e+02,1.285291219189854672e+00
1.739612567433351273e+02,1.287600589278727448e+00
1.760633338549267819e+02,1.289750151826557278e+00
1.780809598037724868e+02,1.291750557187207882e+00
1.800123498636767181e+02,1.293611144158960391e+00
1.818558090722146403e+02,1.295340134230114293e+00
1.836097336830065387e+02,1.296944772613608521e+00
1.852726125241336490e+02,1.298431465405625707e+00
1.868430282615854310e+02,1.299805884113375720e+00
1.883196585667260763e+02,1.301073051694342286e+00
1.897012771868657524e+02,1.302237428747928361e+00
1.909867549181189759e+02,1.303302967671005508e+00
1.921750604798327799e+02,1.304273173826615118e+00
1.932652612899649966e+02,1.305151152013437343e+00
1.942565241408942427e+02,1.305939643759398638e+00
1.951481157752402567e+02,1.306641062903474371e+00
1.959394033613770034e+02,1.307257523996370852e+00
1.966298548684172829e+02,1.307790868793429873e+00
1.972190393405499833e+02,1.308242684006474699e+00
1.977066270707098283e+02,1.308614320045005108e+00
1.980923896736594259e+02,1.308906904675398053e+00
1.983762000586629597e+02,1.309121359067049850e+00
1.985580323020294884e+02,1.309258399104260562e+00
1.986379614199016714e+02,1.309318550875994580e+00
1.986161630417649917e+02,1.309311517658679813e+00
1.984929129852474716e+02,1.309271718698797216e+00
1.982685867328781910e+02,1.309199139155716951e+00
1.979436588115662232e+02,1.309093685381790939e+00
1.975187020756580409e+02,1.308955186066190102e+00
1.969943868945224494e+02,1.308783393519657778e+00
1.963714802457065502e+02,1.308577985136565758e+00
1.956508447147940615e+02,1.308338565002534093e+00
1.948334374031906577e+02,1.308064665643560387e+00
1.939203087451450642e+02,1.307755749946265755e+00
1.929126012354033719e+02,1.307411213216145507e+00
1.918115480689796186e+02,1.307030385365031799e+00
1.906184716946060007e+02,1.306612533237190732e+00
1.893347822835109469e+02,1.306156863099236176e+00
1.879619761152503088e+02,1.305662523219986326e+00
1.865016338823962201e+02,1.305128606612667275e+00
1.849554189159635200e+02,1.304554153888685564e+00
1.833250753335258878e+02,1.303938156245629587e+00
1.816124261120496044e+02,1.303279558577711272e+00
1.798193710875362967e+02,1.302577262675600922e+00
1.779478848836377551e+02,1.301830130658041096e+00
1.760000147714700347e+02,1.301036988353337476e+00
1.739778784629142478e+02,1.300196629022010830e+00
1.718836618397542679e+02,1.299307817029248691e+00
1.697196166210578667e+02,1.298369291762235589e+00
