H_upper,B_upper,H_lower,B_lower,H_init,B_init
-436.8,-1.42117670176,-436.8,-1.49331029317,-436.8,-1.45724349746
-435.6,-1.42056988829,-435.6,-1.49309272354,-435.6,-1.45683130592
-434.4,-1.41995897569,-434.4,-1.49287428152,-434.4,-1.45641662861
-433.2,-1.41934392217,-433.2,-1.49265496182,-433.2,-1.455999442
-432,-1.41872468539,-432,-1.4924347591,-432,-1.45557972225
-430.8,-1.41810122242,-430.8,-1.49221366798,-430.8,-1.4551574452
-429.6,-1.41747348973,-429.6,-1.49199168303,-429.6,-1.45473258638
-428.4,-1.4168414432,-428.4,-1.49176879879,-428.4,-1.454305121
-427.2,-1.41620503812,-427.2,-1.49154500974,-427.2,-1.45387502393
-426,-1.41556422912,-426,-1.49132031032,-426,-1.45344226972
-424.8,-1.41491897024,-424.8,-1.49109469494,-424.8,-1.45300683259
-423.6,-1.41426921484,-423.6,-1.49086815793,-423.6,-1.45256868638
-422.4,-1.41361491564,-422.4,-1.4906406936,-422.4,-1.45212780462
-421.2,-1.41295602472,-421.2,-1.49041229622,-421.2,-1.45168416047
-420,-1.41229249345,-420,-1.49018295998,-420,-1.45123772671
-418.8,-1.41162427252,-418.8,-1.48995267905,-418.8,-1.45078847578
-417.6,-1.41095131192,-417.6,-1.48972144754,-417.6,-1.45033637973
-416.4,-1.41027356094,-416.4,-1.48948925951,-416.4,-1.44988141022
-415.2,-1.40959096812,-415.2,-1.48925610898,-415.2,-1.44942353855
-414,-1.40890348128,-414,-1.4890219899,-414,-1.44896273559
-412.8,-1.40821104747,-412.8,-1.4887868962,-412.8,-1.44849897184
-411.6,-1.407513613,-411.6,-1.48855082174,-411.6,-1.44803221737
-410.4,-1.40681112337,-410.4,-1.48831376032,-410.4,-1.44756244184
-409.2,-1.4061035233,-409.2,-1.4880757057,-409.2,-1.4470896145
-408,-1.4053907567,-408,-1.48783665158,-408,-1.44661370414
-406.8,-1.40467276666,-406.8,-1.48759659163,-406.8,-1.44613467915
-405.6,-1.40394949543,-405.6,-1.48735551943,-405.6,-1.44565250743
-404.4,-1.4032208844,-404.4,-1.48711342854,-404.4,-1.44516715647
-403.2,-1.40248687408,-403.2,-1.48687031243,-403.2,-1.44467859325
-402,-1.40174740412,-402,-1.48662616454,-402,-1.44418678433
-400.8,-1.40100241325,-400.8,-1.48638097825,-400.8,-1.44369169575
-399.6,-1.40025183928,-399.6,-1.48613474688,-399.6,-1.44319329308
-398.4,-1.39949561908,-398.4,-1.48588746369,-398.4,-1.44269154138
-397.2,-1.39873368857,-397.2,-1.48563912188,-397.2,-1.44218640523
-396,-1.39796598271,-396,-1.48538971461,-396,-1.44167784866
-394.8,-1.39719243543,-394.8,-1.48513923495,-394.8,-1.44116583519
-393.6,-1.39641297969,-393.6,-1.48488767593,-393.6,-1.44065032781
-392.4,-1.3956275474,-392.4,-1.48463503052,-392.4,-1.44013128896
-391.2,-1.39483606943,-391.2,-1.48438129163,-391.2,-1.43960868053
-390,-1.39403847555,-390,-1.48412645209,-390,-1.43908246382
-388.8,-1.39323469448,-388.8,-1.48387050469,-388.8,-1.43855259958
-387.6,-1.3924246538,-387.6,-1.48361344214,-387.6,-1.43801904797
-386.4,-1.39160827997,-386.4,-1.48335525709,-386.4,-1.43748176853
-385.2,-1.39078549827,-385.2,-1.48309594214,-385.2,-1.43694072021
-384,-1.38995623284,-384,-1.48283548981,-384,-1.43639586133
-382.8,-1.38912040659,-382.8,-1.48257389255,-382.8,-1.43584714957
-381.6,-1.38827794119,-381.6,-1.48231114275,-381.6,-1.43529454197
-380.4,-1.3874287571,-380.4,-1.48204723273,-380.4,-1.43473799491
-379.2,-1.38657277346,-379.2,-1.48178215476,-379.2,-1.43417746411
-378,-1.38570990814,-378,-1.481515901,-378,-1.43361290457
-376.8,-1.38484007766,-376.8,-1.48124846359,-376.8,-1.43304427063
-375.6,-1.38396319721,-375.6,-1.48097983455,-375.6,-1.43247151588
-374.4,-1.38307918057,-374.4,-1.48071000587,-374.4,-1.43189459322
-373.2,-1.38218794012,-373.2,-1.48043896945,-373.2,-1.43131345478
-372,-1.3812893868,-372,-1.48016671711,-372,-1.43072805195
-370.8,-1.38038343007,-370.8,-1.4798932406,-370.8,-1.43013833534
-369.6,-1.37946997792,-369.6,-1.47961853161,-369.6,-1.42954425476
-368.4,-1.37854893677,-368.4,-1.47934258173,-368.4,-1.42894575925
-367.2,-1.3776202115,-367.2,-1.4790653825,-367.2,-1.428342797
-366,-1.37668370539,-366,-1.47878692536,-366,-1.42773531538
-364.8,-1.37573932008,-364.8,-1.47850720169,-364.8,-1.42712326088
-363.6,-1.37478695555,-363.6,-1.47822620277,-363.6,-1.42650657916
-362.4,-1.37382651009,-362.4,-1.47794391982,-362.4,-1.42588521495
-361.2,-1.37285788024,-361.2,-1.47766034397,-361.2,-1.4252591121
-360,-1.37188096077,-360,-1.47737546627,-360,-1.42462821352
-358.8,-1.37089564465,-358.8,-1.47708927768,-358.8,-1.42399246116
-357.6,-1.36990182298,-357.6,-1.47680176909,-357.6,-1.42335179603
-356.4,-1.36889938499,-356.4,-1.47651293129,-356.4,-1.42270615814
-355.2,-1.36788821795,-355.2,-1.476222755,-355.2,-1.42205548647
-354,-1.36686820718,-354,-1.47593123084,-354,-1.42139971901
-352.8,-1.36583923598,-352.8,-1.47563834936,-352.8,-1.42073879267
-351.6,-1.36480118558,-351.6,-1.47534410099,-351.6,-1.42007264328
-350.4,-1.36375393509,-350.4,-1.4750484761,-350.4,-1.4194012056
-349.2,-1.3626973615,-349.2,-1.47475146495,-349.2,-1.41872441322
-348,-1.36163133955,-348,-1.47445305773,-348,-1.41804219864
-346.8,-1.36055574176,-346.8,-1.47415324451,-346.8,-1.41735449314
-345.6,-1.35947043835,-345.6,-1.47385201529,-345.6,-1.41666122682
-344.4,-1.35837529715,-344.4,-1.47354935995,-344.4,-1.41596232855
-343.2,-1.35727018361,-343.2,-1.4732452683,-343.2,-1.41525772596
-342,-1.35615496071,-342,-1.47293973003,-342,-1.41454734537
-340.8,-1.3550294889,-340.8,-1.47263273475,-340.8,-1.41383111183
-339.6,-1.35389362606,-339.6,-1.47232427196,-339.6,-1.41310894901
-338.4,-1.35274722741,-338.4,-1.47201433105,-338.4,-1.41238077923
-337.2,-1.35159014548,-337.2,-1.47170290133,-337.2,-1.41164652341
-336,-1.35042223005,-336,-1.47138997199,-336,-1.41090610102
-334.8,-1.34924332805,-334.8,-1.47107553211,-334.8,-1.41015943008
-333.6,-1.34805328352,-333.6,-1.47075957069,-333.6,-1.40940642711
-332.4,-1.34685193754,-332.4,-1.47044207659,-332.4,-1.40864700706
-331.2,-1.34563912813,-331.2,-1.47012303859,-331.2,-1.40788108336
-330,-1.34441469023,-330,-1.46980244533,-330,-1.40710856778
-328.8,-1.34317845558,-328.8,-1.46948028538,-328.8,-1.40632937048
-327.6,-1.34193025265,-327.6,-1.46915654715,-327.6,-1.4055433999
-326.4,-1.3406699066,-326.4,-1.46883121897,-326.4,-1.40475056278
-325.2,-1.33939723912,-325.2,-1.46850428904,-325.2,-1.40395076408
-324,-1.33811206844,-324,-1.46817574545,-324,-1.40314390694
-322.8,-1.33681420917,-322.8,-1.46784557616,-322.8,-1.40232989266
-321.6,-1.33550347223,-321.6,-1.46751376903,-321.6,-1.40150862063
-320.4,-1.33417966478,-320.4,-1.46718031178,-320.4,-1.40067998828
-319.2,-1.33284259012,-319.2,-1.46684519201,-319.2,-1.39984389106
-318,-1.33149204756,-318,-1.4665083972,-318,-1.39900022238
-316.8,-1.33012783235,-316.8,-1.4661699147,-316.8,-1.39814887353
